PNR Number: 22517_20221101_1_2815_12				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WiYhZJaJlZQCc               				AC2815				12				UB
AEBEeVZtXrif                				AC2815				13				UB
tDj                         				AC2815				14				SL
xlWLC                       				AC2815				15				SU
SZcESfteSjEgpfb             				AC2815				16				LB
sxNrmEGcERq                 				AC2815				17				LB
uRIPvQlvRnKuU               				AC2815				18				UB




PNR Number: 22517_20221101_0_2087_15				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WNXSAEac                    				SL2087				15				LB
XyaScEpiLeTIawsO            				SL2087				16				MB
kUO                         				SL2087				17				UB
mDiEtBPQuGyt                				SL2087				18				SL
xTj                         				SL2087				19				SU
UaZJeXVtmX                  				SL2087				20				LB
gIdRMi                      				SL2087				21				MB
REukBcpswc                  				SL2087				22				UB
qEonRzdHV                   				SL2087				23				LB
TgwNF                       				SL2087				24				MB
dYGH                        				SL2088				1				LB
rTwJeniocj                  				SL2088				2				MB
GrlUAeSuEnpazT              				SL2088				3				UB
Xv                          				SL2088				4				LB
sLUc                        				SL2088				5				MB
ncdAlgkuAbz                 				SL2088				6				UB
VMvgY                       				SL2088				7				SL
tRELJZ                      				SL2088				8				SU
mGfCkcKI                    				SL2088				9				LB
GGin                        				SL2088				10				MB
KrkqyPasZgkOFWy             				SL2088				11				UB
HbWhnPwvMRNlLRH             				SL2088				12				LB
JQIbxQVTDGMdyjl             				SL2088				13				MB
vIMmWWhkDt                  				SL2088				14				UB
Z                           				SL2088				15				LB
duFouArMqSKpMSqa            				SL2088				16				MB
LeoPGdOJXMnn                				SL2088				17				UB
xWu                         				SL2088				18				SL
bGX                         				SL2088				19				SU




PNR Number: 4652_20221101_0_2018_19				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZqSSA                       				SL2018				19				SU
n                           				SL2018				20				LB
gkldEeAheDN                 				SL2018				21				MB
V                           				SL2018				22				UB




PNR Number: 22517_20221101_0_2097_23				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZoCs                        				SL2097				23				LB
PRwDqbAI                    				SL2097				24				MB
bWZZcZyQfSjArQeD            				SL2098				1				LB
j                           				SL2098				2				MB
MEcmlyAhQS                  				SL2098				3				UB
HFfuEDE                     				SL2098				4				LB
QtyjY                       				SL2098				5				MB
HURdIiYSpMtRCTLs            				SL2098				6				UB
DUOkO                       				SL2098				7				SL
IalDiqudVJ                  				SL2098				8				SU
psSGArMvVdSNhLXW            				SL2098				9				LB
zQCFrQyeKdPQRJa             				SL2098				10				MB
UUrAWqfFcH                  				SL2098				11				UB
TJRUgIUPN                   				SL2098				12				LB
vfJKJJC                     				SL2098				13				MB




PNR Number: 4652_20221101_0_2021_19				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

bVDqr                       				SL2021				19				SU
mSrfaWLQGySVQf              				SL2021				20				LB
IumOmNxqaUvX                				SL2021				21				MB
wwbWm                       				SL2021				22				UB
VNXrVtfcHx                  				SL2021				23				LB
SJaoEZASfUPZReua            				SL2021				24				MB
uOGfnmRgTIeGkBv             				SL2022				1				LB
OWPTh                       				SL2022				2				MB
HcTMoZjqvKFScXlI            				SL2022				3				UB
Fjc                         				SL2022				4				LB
DSOreDOuzUiCsp              				SL2022				5				MB
z                           				SL2022				6				UB
psj                         				SL2022				7				SL
AvyRExTqBunBgj              				SL2022				8				SU
oVzJLSIJIUX                 				SL2022				9				LB
SaefougXseUFGh              				SL2022				10				MB
DLbjRqhHGSlTXLRx            				SL2022				11				UB
V                           				SL2022				12				LB
ZTwNgz                      				SL2022				13				MB
esAxq                       				SL2022				14				UB
FeZyr                       				SL2022				15				LB
iwfPmJHNsd                  				SL2022				16				MB
imQCHPzwLVmpPvbZ            				SL2022				17				UB
TYUQiKF                     				SL2022				18				SL




PNR Number: 4652_20221101_0_2026_12				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

dktrhzwNeYBbu               				SL2026				12				LB
VXYFRBDlyWc                 				SL2026				13				MB
IlJ                         				SL2026				14				UB
KoVedngLqWHGgr              				SL2026				15				LB
WOUXRxiK                    				SL2026				16				MB
rGQfMZrY                    				SL2026				17				UB
fRv                         				SL2026				18				SL
YI                          				SL2026				19				SU
SJwksIFOTXcgYm              				SL2026				20				LB
ZxjXYtxYbI                  				SL2026				21				MB
G                           				SL2026				22				UB
rmFHDZonXtCk                				SL2026				23				LB
mFwjnVpUUUMLmE              				SL2026				24				MB
rudObEyzmvOK                				SL2027				1				LB
yynSgemDNfO                 				SL2027				2				MB
EdyyFv                      				SL2027				3				UB
OL                          				SL2027				4				LB
bNRzsSOD                    				SL2027				5				MB
