PNR Number: 22517_20221101_0_2088_23				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

k                           				SL2088				23				LB
rSJ                         				SL2088				24				MB
qzloLaUnsewJGXe             				SL2089				1				LB
MJrpSHJ                     				SL2089				2				MB
ct                          				SL2089				3				UB
sTssqblnVW                  				SL2089				4				LB
iEH                         				SL2089				5				MB




PNR Number: 4652_20221101_0_2017_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

vNDOJO                      				SL2017				7				SL




PNR Number: 4652_20221101_1_2885_2				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

suLkKsAfVbzdJWtB            				AC2885				2				SL
juMUfxJvGRzQf               				AC2885				3				SU
F                           				AC2885				4				LB
PtKOyPRnViW                 				AC2885				5				LB
IlGOvOXcY                   				AC2885				6				UB
cmlhpsbtF                   				AC2885				7				UB
aEFfTiQjvYzH                				AC2885				8				SL




PNR Number: 4652_20221101_1_2885_9				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

RVmNbtmu                    				AC2885				9				SU
tTr                         				AC2885				10				LB
IqhjfJpimOQB                				AC2885				11				LB
o                           				AC2885				12				UB
K                           				AC2885				13				UB
LM                          				AC2885				14				SL
WHY                         				AC2885				15				SU
zhD                         				AC2885				16				LB
xsRNCYCNq                   				AC2885				17				LB
xeoZWX                      				AC2885				18				UB
mfTJY                       				AC2886				1				UB
o                           				AC2886				2				SL
RNabIHODDOXN                				AC2886				3				SU
OIGpC                       				AC2886				4				LB
DDSdlY                      				AC2886				5				LB
WbLCToqNzYuqGf              				AC2886				6				UB
eZIc                        				AC2886				7				UB
I                           				AC2886				8				SL
w                           				AC2886				9				SU
rC                          				AC2886				10				LB
BjjLJTXNzQTam               				AC2886				11				LB
TuBlReT                     				AC2886				12				UB
hS                          				AC2886				13				UB
GGGIYijgaZ                  				AC2886				14				SL




PNR Number: 4652_20221101_0_2036_14				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

yTNwExmAv                   				SL2036				14				UB
EopFdqbs                    				SL2036				15				LB
nbjEaAeBwGzAMY              				SL2036				16				MB
sA                          				SL2036				17				UB
sLULVsuPoZwrE               				SL2036				18				SL
yeQTcOhVcvJKIcZ             				SL2036				19				SU
JdYdKmpjj                   				SL2036				20				LB
Qe                          				SL2036				21				MB
loxpQWG                     				SL2036				22				UB
zJdfAWhXQDbKxKv             				SL2036				23				LB
aYfIckJtADzKcSLc            				SL2036				24				MB
gRPWVivaYWV                 				SL2037				1				LB
xnkAGiM                     				SL2037				2				MB
ZAlDd                       				SL2037				3				UB
Wn                          				SL2037				4				LB
bZfLLrKwKLNEUTFv            				SL2037				5				MB
vg                          				SL2037				6				UB
ikKlugNbnOVPS               				SL2037				7				SL
EYLapUhcIRJMaq              				SL2037				8				SU
jIjCqYfAdl                  				SL2037				9				LB
PZkkjjvVIbirMl              				SL2037				10				MB
iNUKuiUU                    				SL2037				11				UB
XLBsVLczJPh                 				SL2037				12				LB
HRwOnFWjmv                  				SL2037				13				MB
YIZbNPIgcCrI                				SL2037				14				UB
dxOOkgDfUaGrd               				SL2037				15				LB
NqckRJytzOJbmKI             				SL2037				16				MB
Cm                          				SL2037				17				UB




PNR Number: 22517_20221101_0_2111_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GbCds                       				SL2111				4				LB
ZiVTEMPiGJ                  				SL2111				5				MB
bIrzzvwHDe                  				SL2111				6				UB
jBwPYQOatgNbGw              				SL2111				7				SL
p                           				SL2111				8				SU
DrmdAYinYhbZvamM            				SL2111				9				LB
ZKg                         				SL2111				10				MB
EKQjEPDWhYduesp             				SL2111				11				UB
tDiA                        				SL2111				12				LB
DTEGR                       				SL2111				13				MB
iLvJDgrbqwnENSdw            				SL2111				14				UB
KdYPzd                      				SL2111				15				LB
mcGSuAGBLzhUaxfQ            				SL2111				16				MB
IFW                         				SL2111				17				UB
bNsveQ                      				SL2111				18				SL
Rm                          				SL2111				19				SU
heKFHZWePtkz                				SL2111				20				LB
rbetEp                      				SL2111				21				MB
bIfyygwY                    				SL2111				22				UB
BiQ                         				SL2111				23				LB
nMLdidGkYfpi                				SL2111				24				MB
bmOsRMDai                   				SL2112				1				LB
pbjAJbrmJ                   				SL2112				2				MB
SfmRcCsbXDjGp               				SL2112				3				UB




PNR Number: 4652_20221101_0_2041_9				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

Qj                          				SL2041				9				LB
VjWAzDBoUgk                 				SL2041				10				MB
srTYkgHYmJYCMcGG            				SL2041				11				UB
ymikaEg                     				SL2041				12				LB
RsIMmpsFsJGTjEF             				SL2041				13				MB
