PNR Number: 22517_20221101_1_2819_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

wup                         				AC2819				18				UB
tbvQGWTKBkucFHos            				AC2820				1				UB
TCFSZSPh                    				AC2820				2				SL
PEvlurOyAAedXRm             				AC2820				3				SU
qD                          				AC2820				4				LB
UtfUze                      				AC2820				5				LB
zCrAllmhbKomrK              				AC2820				6				UB
AdDwzDR                     				AC2820				7				UB
ozwxkmUHKbsaA               				AC2820				8				SL
RxycT                       				AC2820				9				SU




PNR Number: 22517_20221101_0_2092_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WacwIR                      				SL2092				5				MB




PNR Number: 4652_20221101_0_2019_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

axpBZbLPbeG                 				SL2019				7				SL
fQoWoYmAMJa                 				SL2019				8				SU
zvCAJyItxB                  				SL2019				9				LB
k                           				SL2019				10				MB
zMbQ                        				SL2019				11				UB
aSvhJFHtDwOS                				SL2019				12				LB
XjlXgRNQIuBVH               				SL2019				13				MB
UcxZeiaYTrXfgC              				SL2019				14				UB
EHUGVtIDtvWWmaq             				SL2019				15				LB
It                          				SL2019				16				MB




PNR Number: 22517_20221101_0_2096_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

J                           				SL2096				17				UB
oTvdiLtwzqYwpXPE            				SL2096				18				SL
jxpqNqarGMsg                				SL2096				19				SU
VwHmgRnVLc                  				SL2096				20				LB
SMYeJuSnrK                  				SL2096				21				MB
KNxv                        				SL2096				22				UB
lLtlvoNNfMwYJO              				SL2096				23				LB
yHIgBcplLww                 				SL2096				24				MB
JNcEtQA                     				SL2097				1				LB
SLrtpcci                    				SL2097				2				MB
pqLeq                       				SL2097				3				UB
cAF                         				SL2097				4				LB
o                           				SL2097				5				MB
UIoFdlpIFjzPi               				SL2097				6				UB
BUWyVhx                     				SL2097				7				SL
fyKlobGhJUxvib              				SL2097				8				SU
RxtH                        				SL2097				9				LB
vKFK                        				SL2097				10				MB
IVMzRKNh                    				SL2097				11				UB
k                           				SL2097				12				LB
KYHiZVD                     				SL2097				13				MB
IXdjBMUG                    				SL2097				14				UB
jiwDIYMCwfDjiCe             				SL2097				15				LB
udpjqmCSV                   				SL2097				16				MB
IdYVtlFXguuqKLMy            				SL2097				17				UB
wKNCpuQrQ                   				SL2097				18				SL
dGSsyhmM                    				SL2097				19				SU
Bmyt                        				SL2097				20				LB
oImdYuALYjicc               				SL2097				21				MB
GF                          				SL2097				22				UB




PNR Number: 22517_20221101_1_2832_13				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

KhlZkDuXT                   				AC2832				13				UB
JzXlM                       				AC2832				14				SL




PNR Number: 4652_20221101_1_2893_17				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

oaY                         				AC2893				17				LB
J                           				AC2893				18				UB
WEaFJBqOcALmg               				AC2894				1				UB
hRA                         				AC2894				2				SL
IfuIZNBfJqz                 				AC2894				3				SU




PNR Number: 22517_20221101_0_2112_22				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

Ba                          				SL2112				22				UB
ghZdYwOc                    				SL2112				23				LB
GSAnjHEg                    				SL2112				24				MB
v                           				SL2113				1				LB
qSxZRtnGpXu                 				SL2113				2				MB
QfBUxBSnp                   				SL2113				3				UB
vtyhwjcUdKT                 				SL2113				4				LB
rhPOmAELH                   				SL2113				5				MB
KkOFAT                      				SL2113				6				UB
sh                          				SL2113				7				SL
JbSwQXRIFrbkjF              				SL2113				8				SU
BfNtkyK                     				SL2113				9				LB




PNR Number: 22517_20221101_1_2877_3				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

fHHGApnmCav                 				AC2877				3				SU
FzKnerkjY                   				AC2877				4				LB




PNR Number: 22517_20221101_1_2877_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ti                          				AC2877				5				LB
cwUMXBugtMYDr               				AC2877				6				UB
AyZtygCJXwwNPhcV            				AC2877				7				UB
bHVLrKBoIJ                  				AC2877				8				SL
JCHjdzDtJUEFdn              				AC2877				9				SU
ThZEvw                      				AC2877				10				LB
qPXtPnNNZRqFGbB             				AC2877				11				LB
Xctcp                       				AC2877				12				UB
IxMufYXWcXS                 				AC2877				13				UB
hS                          				AC2877				14				SL
ySOfGJO                     				AC2877				15				SU
XCYFfunlhklI                				AC2877				16				LB
ZwIeEwoL                    				AC2877				17				LB
QjQpIKipzgE                 				AC2877				18				UB
ZlJNkhwRHU                  				AC2878				1				UB
BoVVa                       				AC2878				2				SL
