PNR Number: 22517_20221101_1_2816_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

oxRwJYYBh                   				AC2816				1				UB
JLIeNkHRQ                   				AC2816				2				SL
oHnSkfmMHNdLDAaw            				AC2816				3				SU
zHQXMGqfxb                  				AC2816				4				LB
HuWuZWDpMusnBoL             				AC2816				5				LB
ZGm                         				AC2816				6				UB
JDmYmX                      				AC2816				7				UB
vZMBHVufLUTDm               				AC2816				8				SL
Vqw                         				AC2816				9				SU
bbFzkWFs                    				AC2816				10				LB
bz                          				AC2816				11				LB
hHiTfwRiQDBP                				AC2816				12				UB
ceKDdIFFPaTlcllR            				AC2816				13				UB
ku                          				AC2816				14				SL
aX                          				AC2816				15				SU




PNR Number: 22517_20221101_1_2818_14				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ttfok                       				AC2818				14				SL
aYbBNSwlEjsEpSrW            				AC2818				15				SU
WAigz                       				AC2818				16				LB
HmFQyDvz                    				AC2818				17				LB
iNm                         				AC2818				18				UB
WWoYNdKJHZYe                				AC2819				1				UB
VtwniCiVSl                  				AC2819				2				SL
nugYMUQehwCIvbBx            				AC2819				3				SU
URNC                        				AC2819				4				LB
DXH                         				AC2819				5				LB
AxueW                       				AC2819				6				UB




PNR Number: 4652_20221101_1_2881_12				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

XZh                         				AC2881				12				UB
mySmyp                      				AC2881				13				UB
QRptfBYhJWzDjx              				AC2881				14				SL
WRTBUqByk                   				AC2881				15				SU
vlGK                        				AC2881				16				LB
brjrfitgSA                  				AC2881				17				LB
gpxqUpjTjw                  				AC2881				18				UB
TdjnenbEwDFWXvSv            				AC2882				1				UB
bMpkowSKjlmUCIa             				AC2882				2				SL
FCIVrVaqGwO                 				AC2882				3				SU
kUKnhP                      				AC2882				4				LB
MBSDY                       				AC2882				5				LB
yuZhqAHEcmji                				AC2882				6				UB
ryuqknVNVvNcI               				AC2882				7				UB
JdIOwpDMIgmbP               				AC2882				8				SL
ocGCEoUmnv                  				AC2882				9				SU
wUZY                        				AC2882				10				LB
yyaWZSkddtKUVnPI            				AC2882				11				LB
jLK                         				AC2882				12				UB
SbgzRFCitqIl                				AC2882				13				UB
owejjkPFt                   				AC2882				14				SL
hF                          				AC2882				15				SU




PNR Number: 4652_20221101_1_2934_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

bfxErNYPo                   				AC2934				7				UB
Cv                          				AC2934				8				SL
vdNlyHNrabuqZIgG            				AC2934				9				SU
D                           				AC2934				10				LB
sLLUGbmwqwo                 				AC2934				11				LB
an                          				AC2934				12				UB
KASYcXQaHMfZIMft            				AC2934				13				UB
jiZZQmsD                    				AC2934				14				SL
bHEj                        				AC2934				15				SU
e                           				AC2934				16				LB
nFKiiIN                     				AC2934				17				LB
PBKDgacqnZsDroRO            				AC2934				18				UB
AshZXoNi                    				AC2935				1				UB
Z                           				AC2935				2				SL




PNR Number: 22517_20221101_0_2137_13				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MiH                         				SL2137				13				MB
tHJ                         				SL2137				14				UB
BdkkND                      				SL2137				15				LB
fqWNwsndRy                  				SL2137				16				MB
jZFIAIYpEaMDV               				SL2137				17				UB
hJEIDppfXI                  				SL2137				18				SL
uFE                         				SL2137				19				SU
IbTSrMjicAfMlK              				SL2137				20				LB
BNCKmDLEKfVPAzfM            				SL2137				21				MB
mAFHxNHv                    				SL2137				22				UB
cutbFGvkYlPMuLgj            				SL2137				23				LB
ROtGqptVKYJltWk             				SL2137				24				MB
INiZXvxFdai                 				SL2138				1				LB
AZTNRyoTlx                  				SL2138				2				MB




PNR Number: 4652_20221101_1_2938_3				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ayswZGho                    				AC2938				3				SU
lFQwMTXcFRanrY              				AC2938				4				LB
unybvkYTwDmtYq              				AC2938				5				LB
YUILwkgFRedj                				AC2938				6				UB
bGfiCuNr                    				AC2938				7				UB
mwoZQjj                     				AC2938				8				SL
FKqfU                       				AC2938				9				SU
FMHHEAM                     				AC2938				10				LB
zgxkNMjJlVAtBvA             				AC2938				11				LB
GrnVbMmBpYn                 				AC2938				12				UB
dI                          				AC2938				13				UB
VHdTpcutQnqS                				AC2938				14				SL
PWQfQLyzWFVVD               				AC2938				15				SU
qaHclHzRAhKQBOH             				AC2938				16				LB
PjD                         				AC2938				17				LB
WDBAr                       				AC2938				18				UB
Mmn                         				AC2939				1				UB
pJjEzvg                     				AC2939				2				SL
zYpmfQKAnQZYGX              				AC2939				3				SU
wBsyHIjJAa                  				AC2939				4				LB
vNvbiU                      				AC2939				5				LB
