PNR Number: 22517_20221101_1_2828_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MkLnQ                       				AC2828				8				SL
WJBCcgvB                    				AC2828				9				SU
NAAUJkALNnMpjiw             				AC2828				10				LB
zgvdSCd                     				AC2828				11				LB
ViDvHoQnBKp                 				AC2828				12				UB
ZFEhWYd                     				AC2828				13				UB
Yh                          				AC2828				14				SL




PNR Number: 22517_20221101_0_2126_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

BWDnhJmlNyXR                				SL2126				24				MB
CMPYadMNHJHVHly             				SL2127				1				LB
syAWUj                      				SL2127				2				MB
WGGSIEQAwgfvX               				SL2127				3				UB
gtRmhc                      				SL2127				4				LB
HTBZuk                      				SL2127				5				MB
cigzOLfhgt                  				SL2127				6				UB
ryr                         				SL2127				7				SL
wQsW                        				SL2127				8				SU
dMdl                        				SL2127				9				LB
lLmYKKoDlCjdEEj             				SL2127				10				MB
TSuVlAuYlP                  				SL2127				11				UB
QkGtFKVeI                   				SL2127				12				LB
GVCXIU                      				SL2127				13				MB
hYlz                        				SL2127				14				UB
mhttmbNZYkXZ                				SL2127				15				LB
vVDbQrzWmPM                 				SL2127				16				MB
CSpObvivsrzSK               				SL2127				17				UB
vIckCwXLBdrtXB              				SL2127				18				SL
lxNeRclKZFlYT               				SL2127				19				SU
UhVMquLPiLLO                				SL2127				20				LB
ThgLQjb                     				SL2127				21				MB
IRZyQfAXnuzNn               				SL2127				22				UB
wkvMSKL                     				SL2127				23				LB
njhwmRFfHYYfzz              				SL2127				24				MB
UTqiVeCdYt                  				SL2128				1				LB
BFHcZyzGpu                  				SL2128				2				MB
GIVbciipYkeizzk             				SL2128				3				UB




PNR Number: 22517_20221101_1_2870_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ogxZiEQc                    				AC2870				1				UB
fjnb                        				AC2870				2				SL
HsjevsjFLBOegX              				AC2870				3				SU
puV                         				AC2870				4				LB
HCImvXuDnm                  				AC2870				5				LB
d                           				AC2870				6				UB
XMgF                        				AC2870				7				UB
zsmdUF                      				AC2870				8				SL
RxgKmMAc                    				AC2870				9				SU
jO                          				AC2870				10				LB
midgqXaBkGfW                				AC2870				11				LB
jAyhQCpcaFygYKOM            				AC2870				12				UB
vXxF                        				AC2870				13				UB
ehGxTIFgPfVxnv              				AC2870				14				SL
DagfzZeeYhBmtiAw            				AC2870				15				SU
QXhapq                      				AC2870				16				LB
KNTpdvjkRGFDAyF             				AC2870				17				LB




PNR Number: 22517_20221101_1_2870_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GxbUapdCehWUiulC            				AC2870				18				UB




PNR Number: 22517_20221101_1_2871_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GqvBUAueqeHeHY              				AC2871				1				UB
czoqQVHHC                   				AC2871				2				SL
s                           				AC2871				3				SU
LCxtHiIQZSqioLM             				AC2871				4				LB
EFndLfvaQhZSYD              				AC2871				5				LB




PNR Number: 22517_20221101_0_2183_21				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

kftdAZDPYa                  				SL2183				21				MB
cuaNx                       				SL2183				22				UB
w                           				SL2183				23				LB
V                           				SL2183				24				MB
zkOPVNNRxACY                				SL2184				1				LB
fipYu                       				SL2184				2				MB
DOg                         				SL2184				3				UB
Sc                          				SL2184				4				LB
hGCEPptzcJLr                				SL2184				5				MB
PVVYIGpMqxXLEwRj            				SL2184				6				UB
ewEUcpWoI                   				SL2184				7				SL
K                           				SL2184				8				SU
dUJIabDEgdckUz              				SL2184				9				LB
VeTlbOtLItO                 				SL2184				10				MB
mAAuqLTybt                  				SL2184				11				UB
ULUqNTaGh                   				SL2184				12				LB
dvl                         				SL2184				13				MB
rLPgRPnWYrOoP               				SL2184				14				UB
WcCxLcUjAeEVvcY             				SL2184				15				LB
uaABCBCIVDyzp               				SL2184				16				MB
nwdiYbS                     				SL2184				17				UB
Ky                          				SL2184				18				SL
UNZdImoGbJAFE               				SL2184				19				SU
wVs                         				SL2184				20				LB
zntRqUu                     				SL2184				21				MB
XVFut                       				SL2184				22				UB
Pnuqnd                      				SL2184				23				LB
G                           				SL2184				24				MB
MobmdDksD                   				SL2185				1				LB
GMWBnEJOkYMvyoB             				SL2185				2				MB
QEps                        				SL2185				3				UB




PNR Number: 22517_20221101_0_2193_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

hxNqluRS                    				SL2193				2				MB
ip                          				SL2193				3				UB
O                           				SL2193				4				LB
CVDFpchRyRk                 				SL2193				5				MB
gVlMWhUBbaAtCvF             				SL2193				6				UB
