PNR Number: 22517_20221101_1_2818_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JV                          				AC2818				7				UB
PWyQkrHPhXJN                				AC2818				8				SL
mMakebDTKluUkbsK            				AC2818				9				SU
w                           				AC2818				10				LB
kBKrgoYDMgRfg               				AC2818				11				LB
SVUNPrqkMQxf                				AC2818				12				UB
X                           				AC2818				13				UB




PNR Number: 4652_20221101_0_2044_2				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

qy                          				SL2044				2				MB
L                           				SL2044				3				UB
JQunaLBzawdOv               				SL2044				4				LB
hKNgGXyALtk                 				SL2044				5				MB
YznkW                       				SL2044				6				UB
zrgWhMIaXQte                				SL2044				7				SL
AuMggKzNXXDjtJ              				SL2044				8				SU
wQ                          				SL2044				9				LB
CDZXlhhNXZNotGJo            				SL2044				10				MB
hhFfzHVE                    				SL2044				11				UB
oDEWvRjks                   				SL2044				12				LB
kow                         				SL2044				13				MB
McPT                        				SL2044				14				UB
DNnlP                       				SL2044				15				LB
nbJnBOTDFFWNHIIu            				SL2044				16				MB
RWArPyf                     				SL2044				17				UB
tGCIdYkaCAHXAtF             				SL2044				18				SL
SnoztdqwysE                 				SL2044				19				SU
DLnsHoMUyikee               				SL2044				20				LB
UirWeoWNmQTVJnPC            				SL2044				21				MB
GKspkk                      				SL2044				22				UB
CHQUBPbpm                   				SL2044				23				LB
XEYLBPZwJrbz                				SL2044				24				MB
NacaiYQTqJ                  				SL2045				1				LB
VaNyueYGerVJ                				SL2045				2				MB
Oa                          				SL2045				3				UB
jXuhDShRtCFLRy              				SL2045				4				LB
wYxOrudWlhfW                				SL2045				5				MB
CarLym                      				SL2045				6				UB
MFXUYeaEvWlhyLAO            				SL2045				7				SL
dIAqlg                      				SL2045				8				SU
utpidm                      				SL2045				9				LB




PNR Number: 4652_20221101_0_2046_17				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

XqFrVUYbR                   				SL2046				17				UB
IZW                         				SL2046				18				SL
IBGykknkxzEdZ               				SL2046				19				SU




PNR Number: 22517_20221101_0_2126_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

eVTixw                      				SL2126				2				MB
XFxzi                       				SL2126				3				UB
HKnmXOTTecqh                				SL2126				4				LB
OhmtbQWnxJ                  				SL2126				5				MB
UnIp                        				SL2126				6				UB
QIQExfcFnOQpEczv            				SL2126				7				SL
LTF                         				SL2126				8				SU
GhluFWguqy                  				SL2126				9				LB
NmeoRqhFmVC                 				SL2126				10				MB
W                           				SL2126				11				UB
dxGOTsyLghsO                				SL2126				12				LB
whsWNBiGsImJ                				SL2126				13				MB
wFXIbPJWMlR                 				SL2126				14				UB
lvTtadvEQcTPbIcp            				SL2126				15				LB
ZqWbrUxfd                   				SL2126				16				MB
XJgzJYpCccgyZf              				SL2126				17				UB
cvBOamyKZmC                 				SL2126				18				SL
or                          				SL2126				19				SU
NtOCzcbNGCmr                				SL2126				20				LB
UVNhxsvpomg                 				SL2126				21				MB
pIYyrCACUMXzfiSj            				SL2126				22				UB
grM                         				SL2126				23				LB




PNR Number: 4652_20221101_0_2050_20				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

SWQHVCJhw                   				SL2050				20				LB
o                           				SL2050				21				MB
LumYGLxrMSVzpV              				SL2050				22				UB




PNR Number: 22517_20221101_1_2873_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

QQQCAAWIJfCT                				AC2873				4				LB
ypVpXQ                      				AC2873				5				LB
YfIV                        				AC2873				6				UB
fVQQBMOVOp                  				AC2873				7				UB
pIeOYuR                     				AC2873				8				SL
ZpnAAdmZOvTOQc              				AC2873				9				SU
DjLJyP                      				AC2873				10				LB
sR                          				AC2873				11				LB
HPEhbAtUwJ                  				AC2873				12				UB
mcfTG                       				AC2873				13				UB
K                           				AC2873				14				SL
QWVRYhJnPCRcT               				AC2873				15				SU
EfNnqo                      				AC2873				16				LB
EQeIcjcWNFeXqY              				AC2873				17				LB
UdDxyRkk                    				AC2873				18				UB
rbhQHxqDHHUv                				AC2874				1				UB
ZCqTTTNQmxTZxB              				AC2874				2				SL
dhuzm                       				AC2874				3				SU
IwsivYhPeCeQJG              				AC2874				4				LB
gaTxUsbjYE                  				AC2874				5				LB
YXsUGmXVYycOH               				AC2874				6				UB
xxlKSv                      				AC2874				7				UB
sbUFi                       				AC2874				8				SL
hnloniDiMmAUn               				AC2874				9				SU
zRsohPgsnKXgOV              				AC2874				10				LB
yxmgJVZhWYmyXW              				AC2874				11				LB
fSsUqYaOWZxOrHw             				AC2874				12				UB
mEkSQJcSWXKb                				AC2874				13				UB
