PNR Number: 22517_20221101_0_2096_16				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZeCOpsfG                    				SL2096				16				MB




PNR Number: 4652_20221101_0_2036_8				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

rKQpQpSUOFWfzTDN            				SL2036				8				SU
VlhxyPuRJO                  				SL2036				9				LB
JglZJucgl                   				SL2036				10				MB
GHTxILvxcPnVmkoS            				SL2036				11				UB
G                           				SL2036				12				LB
mACeMzJ                     				SL2036				13				MB




PNR Number: 22517_20221101_0_2136_3				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

hDW                         				SL2136				3				UB
fTlSbWwzQLlwKen             				SL2136				4				LB
mPlUI                       				SL2136				5				MB
PwVggowho                   				SL2136				6				UB
VnXwsK                      				SL2136				7				SL
ajjVZnpZupYKZD              				SL2136				8				SU
HKN                         				SL2136				9				LB
f                           				SL2136				10				MB
cY                          				SL2136				11				UB
ihUvX                       				SL2136				12				LB
GQzQTz                      				SL2136				13				MB
obdfnHrqXa                  				SL2136				14				UB
yQwivX                      				SL2136				15				LB
rPiSYK                      				SL2136				16				MB
hRkAPB                      				SL2136				17				UB
Qikv                        				SL2136				18				SL
gjh                         				SL2136				19				SU
IWYRLKNvJPDLRuec            				SL2136				20				LB
tIsr                        				SL2136				21				MB
yFbLtNVlbelRx               				SL2136				22				UB
whaokjZaUneYVZvh            				SL2136				23				LB
tqlmUazNyiIRKZ              				SL2136				24				MB
bacyDh                      				SL2137				1				LB
SPqkqTLlmTHhTb              				SL2137				2				MB
kEgUi                       				SL2137				3				UB
ybGCfhhAPAP                 				SL2137				4				LB
M                           				SL2137				5				MB
elukLIK                     				SL2137				6				UB
FLjjKWhVE                   				SL2137				7				SL
eyuOR                       				SL2137				8				SU
KHtnOd                      				SL2137				9				LB
gvgwOzqIWAH                 				SL2137				10				MB
Aw                          				SL2137				11				UB
kC                          				SL2137				12				LB




PNR Number: 4652_20221101_1_2942_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DzFIDdhMLoct                				AC2942				10				LB
EEa                         				AC2942				11				LB
Nd                          				AC2942				12				UB
gqjdGSCm                    				AC2942				13				UB
PnZeBZ                      				AC2942				14				SL
Fb                          				AC2942				15				SU
zfnj                        				AC2942				16				LB
OYKEKWQdLxcimzPJ            				AC2942				17				LB
GFDiCbZdPiekh               				AC2942				18				UB
p                           				AC2943				1				UB
GqoQFjnonPYl                				AC2943				2				SL
PKudcTCJD                   				AC2943				3				SU
zPluQnRhDyQ                 				AC2943				4				LB
sQcVN                       				AC2943				5				LB
fBxRdVOBq                   				AC2943				6				UB
TZIhl                       				AC2943				7				UB
anHUGsFoQsxlRa              				AC2943				8				SL
crTN                        				AC2943				9				SU
sQiIQrae                    				AC2943				10				LB




PNR Number: 22517_20221101_1_2901_12				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

FVGEgE                      				AC2901				12				UB
Z                           				AC2901				13				UB
Gk                          				AC2901				14				SL
xknPaYnTPLyYv               				AC2901				15				SU
uycOOtZp                    				AC2901				16				LB
VCILKMdY                    				AC2901				17				LB
JBaaDXkkhDOjzjd             				AC2901				18				UB
NkOmoLFCICByT               				AC2902				1				UB




PNR Number: 22517_20221101_0_2164_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

xUuQrWTuSjKXzh              				SL2164				5				MB
YJE                         				SL2164				6				UB
xfXfaIqB                    				SL2164				7				SL
GO                          				SL2164				8				SU
EbPHDejL                    				SL2164				9				LB
r                           				SL2164				10				MB
clzzKNxAtuplYf              				SL2164				11				UB
VTERoWUSAzbxZoCJ            				SL2164				12				LB
nMVjNUXszUodFv              				SL2164				13				MB
U                           				SL2164				14				UB
MhdOnosqlGWPPr              				SL2164				15				LB
DnGvvF                      				SL2164				16				MB
BhSkvMbgwCzmRY              				SL2164				17				UB
dxfmfihcKnGtyB              				SL2164				18				SL
x                           				SL2164				19				SU
AgufbYdSMRvkIA              				SL2164				20				LB
EZVxZIowTePsMNJ             				SL2164				21				MB
za                          				SL2164				22				UB
BiyebSG                     				SL2164				23				LB
KLSfXpLSYTQ                 				SL2164				24				MB
VIgvR                       				SL2165				1				LB
XLxlYMnaDxEFRrgU            				SL2165				2				MB
DVtiuqkdaKB                 				SL2165				3				UB
gSnPaQmyXlM                 				SL2165				4				LB
zZ                          				SL2165				5				MB
ijtOndAa                    				SL2165				6				UB
AyaeLvQANxw                 				SL2165				7				SL




PNR Number: 22517_20221101_1_2932_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZqPKWvZnzCTEI               				AC2932				5				LB
