PNR Number: 4652_20221101_1_2912_9				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

dfWry                       				AC2912				9				SU
InW                         				AC2912				10				LB
nWhWRAoCyzFfXTG             				AC2912				11				LB
lBPIxhVSjGqmh               				AC2912				12				UB
o                           				AC2912				13				UB
kbEEkk                      				AC2912				14				SL
gjPQ                        				AC2912				15				SU
vYtasKCmhuqWtA              				AC2912				16				LB
CJZKyUNZh                   				AC2912				17				LB
NKtZo                       				AC2912				18				UB
MGIvvxRbRSLh                				AC2913				1				UB
EVSsZTptNeVFFymw            				AC2913				2				SL
xsPYrUKch                   				AC2913				3				SU




PNR Number: 22517_20221101_1_2863_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

msvkbHJ                     				AC2863				18				UB
gGENsVxwPlLGN               				AC2864				1				UB
LGYxQnmSjzGLBoqK            				AC2864				2				SL
zBURgr                      				AC2864				3				SU
IsyHjANToznqotan            				AC2864				4				LB
fWBQWXwwRFvN                				AC2864				5				LB
lztnhbjfmme                 				AC2864				6				UB
znidmYYFt                   				AC2864				7				UB
eqmcQEfUMYHNs               				AC2864				8				SL
wvEvgsGkkfvZIc              				AC2864				9				SU
DHeiveCvJyT                 				AC2864				10				LB
qxHsQskREfOpsMb             				AC2864				11				LB
GizJMWqKxaSvZ               				AC2864				12				UB
krFCqlfrCajLMuY             				AC2864				13				UB
ZPxqInENEspYuDX             				AC2864				14				SL
SaEbbgdfRy                  				AC2864				15				SU
qgIgaP                      				AC2864				16				LB
mhauZfhNOd                  				AC2864				17				LB
hTOORKjvsLqlsozs            				AC2864				18				UB
WDlMhsWaj                   				AC2865				1				UB
hN                          				AC2865				2				SL
s                           				AC2865				3				SU
AyqlxUXESVJDaTnr            				AC2865				4				LB
FSzxhyIGbsWVsxZD            				AC2865				5				LB
UmCqKVbUB                   				AC2865				6				UB
wiTVtMsfjElB                				AC2865				7				UB
LIZDC                       				AC2865				8				SL
VRmK                        				AC2865				9				SU
NjAHy                       				AC2865				10				LB
WhgYgtVqtYOfd               				AC2865				11				LB
cyuDpIThQf                  				AC2865				12				UB
YFaVqlXKhkdU                				AC2865				13				UB
hGYsIFjefqTFoGrQ            				AC2865				14				SL
KaSJmNxSgPT                 				AC2865				15				SU
hyYfPFTG                    				AC2865				16				LB
e                           				AC2865				17				LB
j                           				AC2865				18				UB




PNR Number: 22517_20221101_1_2879_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

VPMFPqLAMq                  				AC2879				8				SL
X                           				AC2879				9				SU
Q                           				AC2879				10				LB
lRg                         				AC2879				11				LB
mRfpGHFXYsVxAnn             				AC2879				12				UB
zsuZlGzQebCZpFg             				AC2879				13				UB
SjblihfqeIBzPDQD            				AC2879				14				SL
AQf                         				AC2879				15				SU
hDkmkh                      				AC2879				16				LB
CB                          				AC2879				17				LB
IoxRCD                      				AC2879				18				UB
ZaIlps                      				AC2880				1				UB
PLfjC                       				AC2880				2				SL
r                           				AC2880				3				SU
hPpVbEfE                    				AC2880				4				LB
dYL                         				AC2880				5				LB




PNR Number: 4652_20221101_1_2944_13				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

IZSPGDzjmwqdJiG             				AC2944				13				UB
DieUeDiV                    				AC2944				14				SL
AZXgop                      				AC2944				15				SU
mwWF                        				AC2944				16				LB
YsPnscJk                    				AC2944				17				LB




PNR Number: 4652_20221101_1_2962_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

UXZuLwZDSZo                 				AC2962				1				UB
dBjKEqdioxt                 				AC2962				2				SL
htWougGkwLn                 				AC2962				3				SU
matpeNrwCJsS                				AC2962				4				LB
leVDkOodOfk                 				AC2962				5				LB




PNR Number: 22517_20221101_1_2909_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DVSImOCbShPd                				AC2909				5				LB
iGpoyzHFhSdmiw              				AC2909				6				UB
emVxqILuWsY                 				AC2909				7				UB
ZoiHcvaQ                    				AC2909				8				SL
JT                          				AC2909				9				SU
uuHAaMTCkseKrn              				AC2909				10				LB
ECwIc                       				AC2909				11				LB
bisYkHEmwse                 				AC2909				12				UB
nanSdpT                     				AC2909				13				UB
ahPJAyirAEoLjYF             				AC2909				14				SL
bs                          				AC2909				15				SU
Hmwqcmnr                    				AC2909				16				LB
T                           				AC2909				17				LB
NNjYpuNuK                   				AC2909				18				UB
tUBTirirzeQIP               				AC2910				1				UB
NrUGxoKvFBbsJ               				AC2910				2				SL
mKlth                       				AC2910				3				SU
k                           				AC2910				4				LB
QNmelupXNGhJEvch            				AC2910				5				LB
WZy                         				AC2910				6				UB
