PNR Number: 4652_20221101_1_2871_8				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

umyvkzLscLIzCjt             				AC2871				8				SL
IcDiwVtHCQtYaFn             				AC2871				9				SU
oBqjER                      				AC2871				10				LB
rUzkKUqpvEWbE               				AC2871				11				LB
lCOrreeUAT                  				AC2871				12				UB
uvdLZ                       				AC2871				13				UB
ahKFlzDweMwOpVC             				AC2871				14				SL
lmTsmSyGffMY                				AC2871				15				SU
PpKXrQcNlqwI                				AC2871				16				LB
PsyR                        				AC2871				17				LB
DluV                        				AC2871				18				UB
UzksKAAwqaEn                				AC2872				1				UB
dA                          				AC2872				2				SL
aOCZSVxUBqYI                				AC2872				3				SU
fA                          				AC2872				4				LB




PNR Number: 4652_20221101_1_2872_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

oOOLQQSLaVvYW               				AC2872				5				LB
yEcwpUfxivDGDH              				AC2872				6				UB
qxuG                        				AC2872				7				UB
MNPAamrtjKWq                				AC2872				8				SL
ndyMa                       				AC2872				9				SU
lAJUDnj                     				AC2872				10				LB
YItysxaJzLVgeyxy            				AC2872				11				LB
OC                          				AC2872				12				UB
HDMWbIfepR                  				AC2872				13				UB
PIdxDXxyQQxP                				AC2872				14				SL
u                           				AC2872				15				SU
wvLldjnTILS                 				AC2872				16				LB
Wt                          				AC2872				17				LB
Fwe                         				AC2872				18				UB
FokwhBqbRWbHLS              				AC2873				1				UB
ITW                         				AC2873				2				SL
YSXSiXtCR                   				AC2873				3				SU
MhsOqHeMAPXRDFK             				AC2873				4				LB
Q                           				AC2873				5				LB
cbXzckatAKpRnI              				AC2873				6				UB
iPvKFgFoBgpzGSYv            				AC2873				7				UB
VoMcIzXqDFMPbK              				AC2873				8				SL
ywg                         				AC2873				9				SU
MQBLqnykCvbwgd              				AC2873				10				LB
jCWvWfzDbV                  				AC2873				11				LB
MuM                         				AC2873				12				UB
ymwLc                       				AC2873				13				UB
kKUFPDxCCTs                 				AC2873				14				SL
c                           				AC2873				15				SU
BfAjyBiwUGSX                				AC2873				16				LB
RmDYLZqzLTAJzimE            				AC2873				17				LB
I                           				AC2873				18				UB
rpFPzRAfNA                  				AC2874				1				UB
LiJJyIFpQjIldWU             				AC2874				2				SL
OTaZcjYCztyUCWas            				AC2874				3				SU
OEEIovc                     				AC2874				4				LB
cBVUVaBkfGP                 				AC2874				5				LB
GPytFLS                     				AC2874				6				UB




PNR Number: 22517_20221101_0_2089_6				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

jgFzeYeb                    				SL2089				6				UB
jDJIsXgIBZWppHw             				SL2089				7				SL
TRahiKiL                    				SL2089				8				SU
Hjd                         				SL2089				9				LB
ZW                          				SL2089				10				MB
zsf                         				SL2089				11				UB
w                           				SL2089				12				LB
OfydsJ                      				SL2089				13				MB
qORejAbwKyBksPl             				SL2089				14				UB




PNR Number: 22517_20221101_0_2145_22				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EVcgoTJ                     				SL2145				22				UB
sjginPMIiWjYCrT             				SL2145				23				LB
uBBvIEKhYPytra              				SL2145				24				MB
dOguzjKKVkuOAYu             				SL2146				1				LB
FYOYiY                      				SL2146				2				MB
gfrAYReOepMsCV              				SL2146				3				UB
BnjRBlBsBbLKMTwU            				SL2146				4				LB
HTXYxKrg                    				SL2146				5				MB
guCpmtTYjF                  				SL2146				6				UB




PNR Number: 4652_20221101_1_3002_18				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WFFoPPnhDMmoYea             				AC3002				18				UB
TyXxgUyja                   				AC3003				1				UB
XPeksBeBgpYKcI              				AC3003				2				SL
IboFtfU                     				AC3003				3				SU
EEntFRt                     				AC3003				4				LB
fGqlc                       				AC3003				5				LB
EsJJzwcbNoy                 				AC3003				6				UB
Dt                          				AC3003				7				UB
HVToZvnNdlDACo              				AC3003				8				SL
JgyScBjtzuVvt               				AC3003				9				SU
pU                          				AC3003				10				LB
cdIOL                       				AC3003				11				LB
IFweAffwG                   				AC3003				12				UB
H                           				AC3003				13				UB
yWrcchjKKbDJmk              				AC3003				14				SL
dORqZKUUyFSAxx              				AC3003				15				SU
ExqGOptHfsTOYbzH            				AC3003				16				LB
wkESZhDwtfjLB               				AC3003				17				LB
UQrJyMIYSBnwpmm             				AC3003				18				UB
DZdyTuagAktZUptj            				AC3004				1				UB
jtzUJOWKRB                  				AC3004				2				SL
cEtmQfmpQwTwG               				AC3004				3				SU
ayDOPCj                     				AC3004				4				LB
zcmhPQLgi                   				AC3004				5				LB
IfZHRNPco                   				AC3004				6				UB
EUojQK                      				AC3004				7				UB
lyK                         				AC3004				8				SL
N                           				AC3004				9				SU
