PNR Number: 4652_20221101_1_2874_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

z                           				AC2874				7				UB
tmECQ                       				AC2874				8				SL
ZYYciGQfVopPlfd             				AC2874				9				SU
G                           				AC2874				10				LB
kPVLotKfJGXTKl              				AC2874				11				LB
syLgTR                      				AC2874				12				UB
OOKcAqSlpT                  				AC2874				13				UB
jetv                        				AC2874				14				SL




PNR Number: 22517_20221101_0_2104_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

zNXre                       				SL2104				4				LB
NPPDLlkCkMAYr               				SL2104				5				MB
LscTz                       				SL2104				6				UB
ycuz                        				SL2104				7				SL
A                           				SL2104				8				SU
TjK                         				SL2104				9				LB
CFf                         				SL2104				10				MB
IYAfHFGINB                  				SL2104				11				UB
GMPOdvDvA                   				SL2104				12				LB
cIKYLaISIxvR                				SL2104				13				MB
JQCKaMRNIN                  				SL2104				14				UB
EYYTItFUXHEL                				SL2104				15				LB
OPyBHxfzY                   				SL2104				16				MB
DEyYfm                      				SL2104				17				UB
SUcNpqNBrCnEL               				SL2104				18				SL
VZwIdGFONvERF               				SL2104				19				SU
ZidUTcVZsKER                				SL2104				20				LB
ZerWa                       				SL2104				21				MB
AASVacI                     				SL2104				22				UB
DOJWTl                      				SL2104				23				LB
SqAVIecRht                  				SL2104				24				MB
vrMOsFtYHaNRRs              				SL2105				1				LB
WLCV                        				SL2105				2				MB
t                           				SL2105				3				UB
jACAsj                      				SL2105				4				LB
rycYQk                      				SL2105				5				MB
tgSSavQvmJcpDxIz            				SL2105				6				UB




PNR Number: 22517_20221101_1_2840_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

njxOQPPyJN                  				AC2840				11				LB
zNHa                        				AC2840				12				UB
sFbMNEXc                    				AC2840				13				UB
kVlN                        				AC2840				14				SL
KHVqzslHgCpbvqHX            				AC2840				15				SU
KhERYNuRKtRyXX              				AC2840				16				LB
RgBeSGjVdLfOtV              				AC2840				17				LB
cXQVFPkCpGAXx               				AC2840				18				UB
GMZiYVATWDtx                				AC2841				1				UB
hATMgAMiVTFK                				AC2841				2				SL
baha                        				AC2841				3				SU
e                           				AC2841				4				LB
SgTvYDuxEIss                				AC2841				5				LB
Fs                          				AC2841				6				UB
WrOTHpJeDAGaQzC             				AC2841				7				UB




PNR Number: 4652_20221101_0_2038_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

agEbTMfaa                   				SL2038				1				LB
mcpwL                       				SL2038				2				MB
ePldvmmcfjgFHW              				SL2038				3				UB
QpbQ                        				SL2038				4				LB
z                           				SL2038				5				MB
uaRJqa                      				SL2038				6				UB
DFftmNkKtNNSWg              				SL2038				7				SL
tEVVLbk                     				SL2038				8				SU
xdEjmZ                      				SL2038				9				LB
SADQmWWBSZxCRf              				SL2038				10				MB
nFLKKpGvFSQkRx              				SL2038				11				UB
aTbGTAbhyDaI                				SL2038				12				LB




PNR Number: 22517_20221101_1_2853_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

vi                          				AC2853				18				UB
Gmrc                        				AC2854				1				UB
gaTzSzNIEIaSr               				AC2854				2				SL
h                           				AC2854				3				SU
mZc                         				AC2854				4				LB
FtibLNwY                    				AC2854				5				LB
fovHgKPkv                   				AC2854				6				UB
MVCbjghLQMUm                				AC2854				7				UB
dINvtyvKWHsLcy              				AC2854				8				SL
QQYUhAU                     				AC2854				9				SU
z                           				AC2854				10				LB
X                           				AC2854				11				LB
EpPjyOmdhgH                 				AC2854				12				UB
tnJNGzoFz                   				AC2854				13				UB




PNR Number: 22517_20221101_1_2863_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YGJodAlcozJZo               				AC2863				5				LB
PgNfJODS                    				AC2863				6				UB
pCtLCaNJzq                  				AC2863				7				UB
zf                          				AC2863				8				SL
mj                          				AC2863				9				SU
TVHz                        				AC2863				10				LB
dfx                         				AC2863				11				LB
cwShjYBvcvDc                				AC2863				12				UB
XOOTtjmgsQnehD              				AC2863				13				UB
IDeIvkBXZTkBS               				AC2863				14				SL
OHCAYqmjHNNHSXV             				AC2863				15				SU
rxgntNoCpY                  				AC2863				16				LB
dASaKcQCJ                   				AC2863				17				LB




PNR Number: 4652_20221101_1_2920_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

FoqmMv                      				AC2920				6				UB
W                           				AC2920				7				UB
iBrEn                       				AC2920				8				SL
tjriXIy                     				AC2920				9				SU
nnkQNOFehZ                  				AC2920				10				LB
OnbdpmeWNYhUhf              				AC2920				11				LB
KYWhVs                      				AC2920				12				UB
aiulykVS                    				AC2920				13				UB
