PNR Number: 22517_20221101_1_2839_13				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

pEzyV                       				AC2839				13				UB
uKbtPziIqHbC                				AC2839				14				SL
vAPigHTryKAoN               				AC2839				15				SU




PNR Number: 4652_20221101_1_2953_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

BnCg                        				AC2953				7				UB
iKUHxjKScIAK                				AC2953				8				SL
kMBwUBUHQzVq                				AC2953				9				SU
tSPlNmK                     				AC2953				10				LB
dsBamWKLzoEoA               				AC2953				11				LB
MbivvDZK                    				AC2953				12				UB
XrwBhXA                     				AC2953				13				UB
NNRlkbVuuKy                 				AC2953				14				SL
uy                          				AC2953				15				SU
BWbXOgmyFaRfzI              				AC2953				16				LB
DcG                         				AC2953				17				LB
nAWTJtKbMYI                 				AC2953				18				UB
ETKqbXSMLGey                				AC2954				1				UB
voVwdbNwDtb                 				AC2954				2				SL




PNR Number: 22517_20221101_1_2894_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

TfbgTGeTi                   				AC2894				4				LB
lwpwKgJJAxbW                				AC2894				5				LB




PNR Number: 4652_20221101_0_2074_11				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

vFxoEddApaB                 				SL2074				11				UB
pQSfUrbbBukqgGIG            				SL2074				12				LB
ec                          				SL2074				13				MB
FeJLtiZ                     				SL2074				14				UB
ozdJtchztbYCnkF             				SL2074				15				LB
cNKBFMuM                    				SL2074				16				MB
wWxntaaPb                   				SL2074				17				UB
WwJ                         				SL2074				18				SL
j                           				SL2074				19				SU
OxHNeOgdWInc                				SL2074				20				LB
jEm                         				SL2074				21				MB
XJNteYctA                   				SL2074				22				UB
HsSwHzjGDxBIsF              				SL2074				23				LB
wsKnfm                      				SL2074				24				MB
brPMC                       				SL2075				1				LB




PNR Number: 4652_20221101_0_2075_2				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

BfvWCI                      				SL2075				2				MB
Pc                          				SL2075				3				UB
cMEoyjzGjkGJq               				SL2075				4				LB




PNR Number: 22517_20221101_1_2902_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

iTUhdJfR                    				AC2902				2				SL
TqTKTeV                     				AC2902				3				SU




PNR Number: 4652_20221101_0_2083_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YMSgbQvtHNYraz              				SL2083				7				SL
YEBKeBIgIY                  				SL2083				8				SU
wLNXwXAeDsfYh               				SL2083				9				LB
uJraowM                     				SL2083				10				MB
jnRk                        				SL2083				11				UB
tsgpA                       				SL2083				12				LB
CPABuBWLTJ                  				SL2083				13				MB
mUHGQYWftehjahG             				SL2083				14				UB
GuRpCSXhXNYMiIov            				SL2083				15				LB
akdHebn                     				SL2083				16				MB
ohQBZLhKRqPsQlOf            				SL2083				17				UB
RlyC                        				SL2083				18				SL
zJ                          				SL2083				19				SU




PNR Number: 22517_20221101_1_2911_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ocyYCnruBZeLXsq             				AC2911				1				UB
a                           				AC2911				2				SL
uOeUaSSGiUg                 				AC2911				3				SU
HqMdo                       				AC2911				4				LB
BPS                         				AC2911				5				LB
rLy                         				AC2911				6				UB
KtJTZ                       				AC2911				7				UB
RQeBBiLBrjPlSP              				AC2911				8				SL
hBVZHAUytFOXu               				AC2911				9				SU
r                           				AC2911				10				LB
eqqomxmPOr                  				AC2911				11				LB
UOyGou                      				AC2911				12				UB
ar                          				AC2911				13				UB
dyWs                        				AC2911				14				SL
vZFioIsZjGbf                				AC2911				15				SU
HtltAKDBjJgPdUie            				AC2911				16				LB
hB                          				AC2911				17				LB
nfLWDJEoQDLl                				AC2911				18				UB
MEkSLxmiKXrlRmAb            				AC2912				1				UB
yJhYqkCqr                   				AC2912				2				SL
olFX                        				AC2912				3				SU
joGQqNFcuVP                 				AC2912				4				LB




PNR Number: 22517_20221101_0_2176_15				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

qMvqCEuNrSY                 				SL2176				15				LB
MBWnn                       				SL2176				16				MB
NWDefyAWzU                  				SL2176				17				UB
UiRXVnCUb                   				SL2176				18				SL
pdIQFsOgFBI                 				SL2176				19				SU
TMKUYLCojwQE                				SL2176				20				LB
zMqF                        				SL2176				21				MB
wbyarQWdne                  				SL2176				22				UB
cAHmV                       				SL2176				23				LB
WqVOOiLSRtcsRw              				SL2176				24				MB
vaMyMgHiDn                  				SL2177				1				LB
exFxKNXPzp                  				SL2177				2				MB
PYhYBWK                     				SL2177				3				UB
