PNR Number: 4652_20221101_1_2910_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WOvGuX                      				AC2910				6				UB




PNR Number: 4652_20221101_0_2046_20				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

kXblPWnkVpZF                				SL2046				20				LB
qNHDKmJors                  				SL2046				21				MB
yCNRCCiP                    				SL2046				22				UB
zkvioWNjhPLTf               				SL2046				23				LB
cXoXuEbcWoycw               				SL2046				24				MB
ieHrZyJB                    				SL2047				1				LB
AylulTJOHhDGNkQZ            				SL2047				2				MB
FYKbi                       				SL2047				3				UB
Oal                         				SL2047				4				LB
NlAvmsLV                    				SL2047				5				MB
zBgm                        				SL2047				6				UB
WdjeOXVVOqMiYQkd            				SL2047				7				SL
FTgwxo                      				SL2047				8				SU




PNR Number: 22517_20221101_1_2875_14				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

RnwjWNWAUqSNgVNn            				AC2875				14				SL
XY                          				AC2875				15				SU
dzNpnMfZOwZqHqv             				AC2875				16				LB
QaZvxbBPhTwbZm              				AC2875				17				LB
h                           				AC2875				18				UB
nybyET                      				AC2876				1				UB




PNR Number: 4652_20221101_0_2055_23				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

UYKrIJIieaJc                				SL2055				23				LB
ey                          				SL2055				24				MB
GiCSz                       				SL2056				1				LB
GLsfwdtfcfpFSA              				SL2056				2				MB
NAEtBliFsmGoXG              				SL2056				3				UB
siAKcfCRFJZ                 				SL2056				4				LB
NjmR                        				SL2056				5				MB
yFn                         				SL2056				6				UB
lPbB                        				SL2056				7				SL
mXXPaSjDUDM                 				SL2056				8				SU
YjQwAUAcjlQdb               				SL2056				9				LB
hpZJdqzPJqTORKz             				SL2056				10				MB
yJjzW                       				SL2056				11				UB
pOEBBExpdu                  				SL2056				12				LB
BsBuibznLBHcXD              				SL2056				13				MB
gTNOjr                      				SL2056				14				UB
tDgOLEN                     				SL2056				15				LB
xMcOnSFnyh                  				SL2056				16				MB
jQn                         				SL2056				17				UB
FdiilEoVA                   				SL2056				18				SL
M                           				SL2056				19				SU
WcuHTnaKmVjYNdJ             				SL2056				20				LB




PNR Number: 4652_20221101_0_2057_19				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

SnZDBkKTgm                  				SL2057				19				SU
nwv                         				SL2057				20				LB
Ver                         				SL2057				21				MB
WYsKvhEWg                   				SL2057				22				UB
EgP                         				SL2057				23				LB
Wl                          				SL2057				24				MB
RGAEvMarcINd                				SL2058				1				LB
RykMZGlziOtcgtj             				SL2058				2				MB
bbhVfRomJuJVqBD             				SL2058				3				UB
lxZOeNRczzybE               				SL2058				4				LB
hmMQg                       				SL2058				5				MB
bSXWc                       				SL2058				6				UB
Y                           				SL2058				7				SL
EJm                         				SL2058				8				SU
DX                          				SL2058				9				LB
PBRpaRoXE                   				SL2058				10				MB
KfGKrNqhQyLhMb              				SL2058				11				UB
ciaWLrV                     				SL2058				12				LB
H                           				SL2058				13				MB
mFWWSVr                     				SL2058				14				UB
GwEtioVmbqK                 				SL2058				15				LB
fgxnxCWgjh                  				SL2058				16				MB
IyMI                        				SL2058				17				UB




PNR Number: 4652_20221101_0_2061_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

aJe                         				SL2061				10				MB
JCcdySY                     				SL2061				11				UB
rbDQpsUVrCGu                				SL2061				12				LB
TsHfcXHPm                   				SL2061				13				MB
GnymZar                     				SL2061				14				UB
ZQhPCkwV                    				SL2061				15				LB
ITaOnb                      				SL2061				16				MB
LePYDfWdBDIPSxu             				SL2061				17				UB
M                           				SL2061				18				SL




PNR Number: 4652_20221101_1_2952_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

UFdxhigFLTsGZ               				AC2952				6				UB
uxQO                        				AC2952				7				UB
sHhNQsJSxk                  				AC2952				8				SL
vSYpIFCrxj                  				AC2952				9				SU
SFh                         				AC2952				10				LB
JjKcaZId                    				AC2952				11				LB
Ou                          				AC2952				12				UB
lfAJG                       				AC2952				13				UB
q                           				AC2952				14				SL
g                           				AC2952				15				SU
hPSjXfn                     				AC2952				16				LB
SvHdfsuydWJwIhRe            				AC2952				17				LB
UvpdNLeuMrxjAeJT            				AC2952				18				UB
hNqIt                       				AC2953				1				UB
wv                          				AC2953				2				SL
OueMZagu                    				AC2953				3				SU
pYIUQRI                     				AC2953				4				LB
y                           				AC2953				5				LB
u                           				AC2953				6				UB




PNR Number: 22517_20221101_0_2162_16				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

hJ                          				SL2162				16				MB
